idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
60,0.006104979198426008,0.02691308781504631,0.38270621867972254,0.1940014809370041,0.9611181616783142,0.004781027790158987,0.023593470454216003,0.3801503158965398,0.16333812475204468,0.9447945952415466,0.0024143257178366184,0.014706229791045189,0.38035761719948497,0.07211916893720627,0.9779379367828369
61,0.0021692407317459583,0.020130055025219917,0.22645053069830978,0.08942046761512756,0.9393681287765503,0.0018641912611201406,0.01824307069182396,0.22645053069830978,0.048987168818712234,0.9263421893119812,0.000926296750549227,0.012042677029967308,0.22339507547174273,0.026912812143564224,0.9635694026947021
62,0.007165519520640373,0.03046651929616928,0.36029110119577,0.20847076177597046,0.9526039958000183,0.006245972588658333,0.02900608815252781,0.36368202334625316,0.20526868104934692,0.9486278295516968,0.004026482347398996,0.02131154201924801,0.33827170343121316,0.18193969130516052,0.9755663871765137
63,0.009248808026313782,0.03067115880548954,0.48247146351583226,0.228826105594635,0.9481092691421509,0.007751296274363995,0.02884535863995552,0.484395688138123,0.18036973476409912,0.9447806477546692,0.0040740929543972015,0.020306279882788658,0.4657346858692479,0.1347918063402176,0.961273193359375
64,0.005228892900049686,0.030965888872742653,0.2803625171270361,0.17440016567707062,0.9024513363838196,0.003940115682780743,0.025483211502432823,0.277915271698817,0.1515173763036728,0.9170737862586975,0.002992736641317606,0.023693708702921867,0.2740213020225184,0.09340956807136536,0.9186334609985352
65,0.013150203041732311,0.04148023575544357,0.46071336436945226,0.2754640281200409,0.9009667038917542,0.011888284236192703,0.0372067391872406,0.46071336436945226,0.26933351159095764,0.892458975315094,0.010808895342051983,0.034865524619817734,0.44848043056840436,0.2505902647972107,0.8970624804496765
66,0.011915967799723148,0.03721077740192413,0.39509155597604084,0.30780789256095886,0.9349514245986938,0.009987708181142807,0.03347219526767731,0.39509155597604084,0.28053340315818787,0.9265151023864746,0.008381742052733898,0.0270125363022089,0.3948367229843259,0.24847033619880676,0.9484739303588867
67,0.002142129000276327,0.020418420433998108,0.17350241331241456,0.1172311007976532,0.9590683579444885,0.0017475581262260675,0.018315661698579788,0.17363342890077563,0.10027538985013962,0.953105628490448,0.0008343060035258532,0.011931121349334717,0.1729222384861164,0.04186469689011574,0.9763162136077881
68,0.006943880580365658,0.02740084007382393,0.3402356814546609,0.23539267480373383,0.968963086605072,0.005928973667323589,0.025315823033452034,0.3402356814546609,0.21404434740543365,0.9655798673629761,0.002837414387613535,0.015721676871180534,0.3387321510926433,0.10755951702594757,0.975404679775238
69,0.0030429232865571976,0.024229831993579865,0.23980824738957954,0.08613220602273941,0.9446651935577393,0.002777300076559186,0.02234605699777603,0.23727252726584225,0.0715240091085434,0.9366196990013123,0.001493306364864111,0.014771727845072746,0.2247099278150175,0.052146051079034805,0.9643411636352539
70,0.0020053673069924116,0.017179761081933975,0.2193091687846059,0.08636818826198578,0.9643332958221436,0.0016642758855596185,0.01540307141840458,0.2183573383243141,0.04556696489453316,0.9595681428909302,0.0010588372824713588,0.012514601461589336,0.21103002143907837,0.024497048929333687,0.9727917909622192
71,0.007059087045490742,0.027348093688488007,0.4117090169780424,0.2157181054353714,0.9244874715805054,0.00641358457505703,0.02588900923728943,0.4149870536979441,0.19521330296993256,0.9321343302726746,0.0027536689303815365,0.017918528988957405,0.3461611563698252,0.09368237853050232,0.9653500914573669
72,0.013134397566318512,0.036105357110500336,0.475041008735047,0.32643043994903564,0.9149269461631775,0.010617571882903576,0.029975004494190216,0.4763670192091028,0.29573458433151245,0.9243398308753967,0.0054650926031172276,0.02218964882194996,0.4514403597104618,0.1385776549577713,0.92380291223526
73,0.019909610971808434,0.04023006930947304,0.6600783488340627,0.3670293092727661,0.935280442237854,0.017468111589550972,0.036518801003694534,0.6600783488340627,0.3418029546737671,0.9417316317558289,0.008952036499977112,0.024784743785858154,0.6510760844987658,0.166078120470047,0.9433504939079285
74,0.01844065636396408,0.042237527668476105,0.6440892177631655,0.3360871374607086,0.8559983968734741,0.017964757978916168,0.04126078262925148,0.642478471350765,0.3342569172382355,0.847504198551178,0.011185424402356148,0.033388204872608185,0.604040911072123,0.2791210412979126,0.8587298393249512
75,0.005992435850203037,0.024902885779738426,0.3958739293345652,0.17231954634189606,0.9605439305305481,0.0054044644348323345,0.022537002339959145,0.3958314678081254,0.1565818190574646,0.9613201022148132,0.002413475653156638,0.015069030225276947,0.37442019462041226,0.08339784294366837,0.9848943948745728
76,0.0032096076756715775,0.025588274002075195,0.1924198231217906,0.12542860209941864,0.8808119893074036,0.0029648118652403355,0.023932846263051033,0.192298996767734,0.10055890679359436,0.8695659041404724,0.0026925019919872284,0.021795254200696945,0.18977925653288497,0.11426427215337753,0.9160180687904358
77,0.01507006585597992,0.03499522805213928,0.45847022295388845,0.3618500828742981,0.956656813621521,0.012741428799927235,0.030822305008769035,0.4596930207492155,0.3390870988368988,0.9585291743278503,0.010520199313759804,0.0265814196318388,0.4550615561420097,0.30416232347488403,0.9598103165626526
78,0.006685384549200535,0.0256938636302948,0.36955528584352754,0.22379399836063385,0.9673775434494019,0.0054600597359240055,0.022922959178686142,0.3694424278499823,0.20388220250606537,0.9662457704544067,0.0026590493507683277,0.015524879097938538,0.35393577183081437,0.10162123292684555,0.981351912021637
79,0.006033870857208967,0.02594607323408127,0.3963412886376738,0.18019770085811615,0.9375179409980774,0.004897275008261204,0.02348504215478897,0.39820683103935756,0.10406067222356796,0.9249679446220398,0.002909306436777115,0.017731700092554092,0.39238421077678504,0.036248140037059784,0.9510581493377686
80,0.01669539324939251,0.035318922251462936,0.5363520884317702,0.37149152159690857,0.9685977101325989,0.013658211566507816,0.030953168869018555,0.5363520884317702,0.331676185131073,0.9703159928321838,0.0065840077586472034,0.01875540055334568,0.5330448125212004,0.1549181193113327,0.9738487005233765
81,0.004198431968688965,0.020714692771434784,0.32421341857203495,0.1590542048215866,0.9729856252670288,0.0034687111619859934,0.01800289750099182,0.3223986611167792,0.11853025108575821,0.9788867831230164,0.001988018164411187,0.014755994081497192,0.31542137300380807,0.03231733664870262,0.9750969409942627
82,0.0016308168414980173,0.018450194969773293,0.1805802434361467,0.0885625034570694,0.9481054544448853,0.0016759237041696906,0.018884705379605293,0.18316096164310133,0.07427460700273514,0.9429172873497009,0.0009889084612950683,0.013886675238609314,0.16736227152076083,0.06656824797391891,0.9723339676856995
83,0.006376880221068859,0.02747359126806259,0.34440040828692264,0.2144039124250412,0.9491293430328369,0.005502783693373203,0.026131881400942802,0.3407441412071502,0.20397333800792694,0.9458173513412476,0.002453557914122939,0.015661096200346947,0.32438829883516623,0.10456393659114838,0.9782912135124207
84,0.0028992609586566687,0.02201789803802967,0.18650953630503977,0.1338455229997635,0.946397602558136,0.002475145272910595,0.01960890367627144,0.18444328377179287,0.11952757090330124,0.9401388168334961,0.0023386068642139435,0.01752246357500553,0.20886739683381536,0.12235258519649506,0.9642271399497986
85,0.006692890543490648,0.02754468098282814,0.39419373153543985,0.192046120762825,0.9612137675285339,0.005693331826478243,0.02509881742298603,0.394021488629995,0.17797550559043884,0.9550849199295044,0.00251727644354105,0.01572573371231556,0.3767046331721729,0.07844485342502594,0.9723905324935913
86,0.005705193616449833,0.026368118822574615,0.28123962860058077,0.22048982977867126,0.9619019031524658,0.004553754813969135,0.02319997176527977,0.28122246130588324,0.20093733072280884,0.9588105082511902,0.003743184031918645,0.019651923328638077,0.2766211323629324,0.18120060861110687,0.9650348424911499
87,0.014051472768187523,0.03514111414551735,0.5341613320051036,0.3168439269065857,0.9535715579986572,0.01257420890033245,0.03327886387705803,0.5342540793774117,0.30128955841064453,0.9521209001541138,0.005338652990758419,0.018763139843940735,0.4754761994198576,0.15836405754089355,0.983611524105072
88,0.003162787761539221,0.02661099284887314,0.2246083135165135,0.08574933558702469,0.9190405011177063,0.002696894109249115,0.022382616996765137,0.2246083135165135,0.08599574118852615,0.9207663536071777,0.0015262191882357001,0.01973831281065941,0.217768656246232,0.04988742992281914,0.9513428211212158
89,0.0025813516695052385,0.019153347238898277,0.20286483793197801,0.1410764455795288,0.9468677639961243,0.0021809018217027187,0.019778534770011902,0.20295422050502876,0.12121868133544922,0.9301765561103821,0.0010603195987641811,0.012139439582824707,0.19170614026983424,0.06317280977964401,0.9727410078048706
90,0.00516118947416544,0.029662106186151505,0.2696519802434943,0.1798580437898636,0.9435166716575623,0.004870454780757427,0.029848024249076843,0.2686212630546731,0.167454794049263,0.923004686832428,0.003692922182381153,0.019812464714050293,0.2682580037340597,0.1648789495229721,0.9754845499992371
91,0.004554428160190582,0.023298611864447594,0.3383399863931784,0.16855965554714203,0.947069525718689,0.0036678144242614508,0.020921556279063225,0.3383399863931784,0.13837355375289917,0.9307827949523926,0.0018703204113990068,0.01333653461188078,0.33846372171688593,0.05421813577413559,0.9712751507759094
92,0.007916131056845188,0.02792675606906414,0.38612472301879514,0.24800540506839752,0.9377874732017517,0.006752657238394022,0.024637321010231972,0.38354620396079875,0.232359379529953,0.9466025233268738,0.0031298957765102386,0.01667740009725094,0.3557119690222704,0.11856050044298172,0.9702227115631104
93,0.002793129999190569,0.02659609168767929,0.15607250980782533,0.0869210809469223,0.92686527967453,0.0025989925488829613,0.02424047142267227,0.15607250980782533,0.08296772837638855,0.9254158139228821,0.001849007559940219,0.020000308752059937,0.15607250980782533,0.08187100291252136,0.9574034810066223
94,0.004712575580924749,0.03130819648504257,0.2537411813425028,0.10564641654491425,0.8675649166107178,0.004391060210764408,0.028930628672242165,0.2537411813425028,0.1023624911904335,0.8510159850120544,0.0020586922764778137,0.01615939848124981,0.25064027275962947,0.03644557669758797,0.9365352988243103
